Date,Time,Event,Application,Module,Lat,Long,Heading,Speed,Status,DateTime,Operator,UTS Depot
2024-01-06,06:50:59.914,INFO,CleverWareUI,Avm,40.838693,-73.878195,3.7,0.0,"AvmException (duration): Started Count 0, Canceled Count 30, PidConfig=2100000059 (Mode=1, MinDur=600 sec)",2024-01-06 06:51:00,40345,WF
2024-01-06,06:51:01.110,INFO,CleverWareUI,Avm,40.838693,-73.878195,3.7,0.0,Received 595 wheel speed messages out of an expected 600 since 2024-01-06 06:50:01.102 AM,2024-01-06 06:51:01,40345,WF
2024-01-06,06:51:02.420,INFO,CleverWareUI,Framework,40.838693,-73.878195,3.7,0.0,Gps Position,2024-01-06 06:51:02,40345,WF
2024-01-06,06:51:02.825,INFO,CleverWareUI,Radio,40.838693,-73.878195,3.7,0.0,"Session: [192.168.1.20:1195] - CellularRadioStatus received. RSSI [-38], C1 [67], CCH [769.1125], LA [27], NLA [31]",2024-01-06 06:51:03,40345,WF
2024-01-06,06:51:04.560,INFO,CleverWareUI,Framework,40.838693,-73.878195,3.7,0.0,Gps Position,2024-01-06 06:51:04,40345,WF
2024-01-06,06:51:05.633,INFO,CleverWareUI,Framework,40.838693,-73.878195,3.7,0.0,Gps Position,2024-01-06 06:51:05,40345,WF
2024-01-06,06:51:06.654,INFO,CleverWareUI,Framework,40.838693,-73.878195,357.3,0.287727196,Gps Position,2024-01-06 06:51:06,40345,WF
2024-01-06,06:51:07.710,INFO,CleverWareUI,Framework,40.838693,-73.878195,352.7,1.725681358,Gps Position,2024-01-06 06:51:07,40345,WF
2024-01-06,06:51:07.952,INFO,CleverWareUI,Radio,40.838693,-73.878195,352.7,1.725681358,"Session: [192.168.1.20:1195] - CellularRadioStatus received. RSSI [-39], C1 [66], CCH [769.1125], LA [27], NLA [31]",2024-01-06 06:51:08,40345,WF
2024-01-06,06:51:09.790,INFO,CleverWareUI,Framework,40.838727,-73.8782,341.5,3.898635324,Gps Position,2024-01-06 06:51:09,40345,WF
2024-01-06,06:51:09.830,INFO,CleverWareUI,Iop,40.838727,-73.8782,341.5,3.898635324,Sending IOP:heartbeat message.,2024-01-06 06:51:10,40345,WF
2024-01-06,06:51:11.850,INFO,CleverWareUI,Framework,40.838763,-73.878217,340.4,4.221135238,Gps Position,2024-01-06 06:51:11,40345,WF
2024-01-06,06:51:11.930,INFO,CleverWareUI,Iop,40.838763,-73.878217,340.4,4.221135238,Sending IOP:heartbeat message.,2024-01-06 06:51:12,40345,WF
2024-01-06,06:51:13.950,INFO,CleverWareUI,Framework,40.838795,-73.878233,343.0,3.400226366,Gps Position,2024-01-06 06:51:13,40345,WF
2024-01-06,06:51:14.990,INFO,CleverWareUI,Framework,40.838807,-73.87824,332.8,2.60795385,Gps Position,2024-01-06 06:51:14,40345,WF
2024-01-06,06:51:15.070,INFO,CleverWareUI,Iop,40.838807,-73.87824,332.8,2.60795385,Sending IOP:heartbeat message.,2024-01-06 06:51:15,40345,WF
2024-01-06,06:51:16.076,INFO,CleverWareUI,Framework,40.838818,-73.878245,328.3,2.421817536,Gps Position,2024-01-06 06:51:16,40345,WF
2024-01-06,06:51:17.134,INFO,CleverWareUI,Avm,40.838827,-73.878248,320.3,2.105453984,Creating new Last Stop incident at trigger 789,2024-01-06 06:51:17,40345,WF
2024-01-06,06:51:17.831,INFO,CleverWareUI,Radio,40.838827,-73.878248,320.3,1.18636332,"Session: [192.168.1.20:1195] - CellularRadioStatus received. RSSI [-47], C1 [58], CCH [769.1125], LA [27], NLA [31]",2024-01-06 06:51:18,40345,WF
