,UTS Depot,Bus,Route,Run,Operator,Unscheduled PO ,Scheduled PO,Actual PO,PO Diff,PO Depot ,Scheduled PI,Actual PI,PI diff,Depot PI
0,BP,3984,Q64,Q64-407,10989,,2024-01-06 12:01:00,2024-01-06 11:58:00,-00:02,BP,2024-01-06 20:25:00,2024-01-06 20:20:00,-00:04,BP
1,BP,3985,Q112,Q112-207,11748,,2024-01-06 12:05:00,2024-01-06 12:07:00,+00:02,BP,2024-01-06 20:47:00,2024-01-06 20:54:00,+00:07,BP
2,BP,3995,Q64,Q64-405,7735,,2024-01-06 07:15:00,2024-01-06 07:09:00,-00:05,BP,2024-01-06 16:28:00,2024-01-06 16:21:00,-00:06,BP
3,BP,4119,Q64,Q64-408,10094,,2024-01-06 13:01:00,2024-01-06 12:48:00,-00:12,BP,2024-01-06 21:35:00,,,
5,BP,4122,,Q110-10,11272,,2024-01-06 10:35:00,,,,2024-01-06 18:58:00,,,
6,BP,4210,Q112,Q112-208,10992,,2024-01-06 13:05:00,2024-01-06 12:59:00,-00:05,BP,2024-01-06 21:07:00,2024-01-06 21:22:00,+00:15,BP
8,BP,4520,Q112,Q112-205,11271,,2024-01-06 09:05:00,2024-01-06 09:06:00,+00:01,BP,2024-01-06 17:15:00,2024-01-06 16:06:00,-01:08,BP
9,BP,4601,Q64,Q64-403,9334,,2024-01-06 04:50:00,2024-01-06 04:54:00,+00:04,BP,2024-01-06 13:40:00,2024-01-06 13:35:00,-00:04,BP
10,BP,4626,Q64,Q64-404,10509,,2024-01-06 05:20:00,2024-01-06 05:21:00,+00:01,BP,2024-01-06 13:52:00,2024-01-06 13:47:00,-00:04,BP
11,BP,4626,Q110,Q110-13,11306,,2024-01-06 15:45:00,2024-01-06 15:12:00,-00:32,BP,2024-01-07 00:40:00,2024-01-07 00:41:00,+00:01,BP
12,BP,5383,,Q111-118,9191,,2024-01-06 08:09:00,,,,2024-01-06 18:00:00,,,
14,BP,5384,Q111,Q111-112,8248,,2024-01-06 06:57:00,,,,2024-01-06 16:23:00,2024-01-06 16:24:00,+00:01,BP
16,BP,5386,Q111,Q111-127,9070,,2024-01-06 15:01:00,2024-01-06 15:12:00,+00:11,BP,2024-01-07 00:54:00,2024-01-07 00:50:00,-00:04,BP
17,BP,5388,Q114,Q111-107,10674,,2024-01-06 06:09:00,2024-01-06 06:10:00,+00:01,BP,2024-01-06 14:24:00,2024-01-06 14:20:00,-00:03,BP
18,BP,5388,Q111,Q1134-328,10422,,2024-01-06 16:25:00,2024-01-06 16:26:00,+00:01,BP,2024-01-07 01:10:00,2024-01-07 01:11:00,+00:01,BP
